play_name,goal,stage,difficulty,impact,channels,summary,trigger,actions,sop
Competitive Tech Added,Cold / New Leads,Pre-Sales,Intermediate,High,"Email, Text, Mail, Events, Ads, Chat, Phone","Use technology trackers to identify when your target customers buy from your competitors and find the exact right time to launch a ""switch to us"" campaign.
Automatically reach out to them 6 to 9 months after they contract with your competitors to compete for the presumed pending renewal. 
Implement this play multiple times, one for each competitor, with email copy specifically mentioning the competitor with reasons to consider switching to your product.",- Identify signals for competitive technologies added at a company within your ICP,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Set Up Technology Tracking
- Configure ZoomInfo's Technographics feature
- Define target competitor technologies to monitor

## 2. Define Target Criteria
- Establish saved search parameters for companies in your ICP
- Set contact criteria (e.g., management level, department)

## 3. Automated Competitive Intelligence
- Monitor for new companies adopting competitor technologies
- Trigger contact discovery process in ZoomInfo

## 4. Contact Discovery and Export
- Discover up to 20 ZoomInfo contacts meeting criteria
- Export contacts to chosen business system (CRM, MAT, SEP, CSV)

## 5. Lead Assignment
- Automatically assign leads to designated sales team member

## 6. Campaign Enrollment (Optional)
- Create ""switch to us"" email campaign highlighting competitive advantages
- Enroll discovered contacts into the campaign

## 7. Multi-Channel Engagement
- Implement outreach across various channels (email, text, mail, events, ads, chat, phone)

## 8. Timing Optimization
- Schedule outreach 6-9 months after competitor technology adoption

## 9. Competitor-Specific Messaging
- Develop unique email templates for each competitor
- Emphasize specific reasons to switch from each competitor

## 10. Performance Monitoring
- Track engagement and conversion metrics
- Adjust strategy based on performance data

## 11. Continuous Refinement
- Regularly review and update target technologies and criteria
- Refine messaging based on market trends and feedback"
Event Targeting,Cold / New Leads,Pre-Sales,Intermediate,Medium,"Events, Email, Phone, Text","Event managers typically receive a list of companies that will be attending an upcoming event. But they might not receive critical information for prospecting, such as attendees' names and contact information. 
By leveraging ZoomInfo's data, you can search company organization charts and reporting structures to identify contacts that fit the profile of an attendee. Collect the email addresses and phone numbers of potential prospects and invite them to a pre-event meeting, an opening reception, or other tailored events.","- Identify companies and contacts sponsoring, attending or speaking at event or conference","'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Prepare for Event
- Obtain list of companies/contacts attending the event
- Define target criteria (e.g., management level, department)

## 2. Data Enrichment

- Upload attendee list to ZoomInfo
- Discover additional contacts matching criteria
- Enrich data with full contact information

## 3. Segmentation

- Categorize contacts based on relevance and priority
- Create targeted lists for different outreach strategies

## 4. CRM Integration

- Export enriched data to CRM system
- Ensure proper tagging and categorization

## 5. Campaign Setup

- Create event-specific email campaigns
- Develop tailored messaging for pre, during, and post-event

## 6. Lead Assignment

- Assign leads to appropriate sales team members
- Brief team on event strategy and goals

## 7. Pre-Event Outreach

- Send personalized invitations to booth or meetings
- Schedule pre-event demos or consultations

## 8. Event Execution

- Conduct planned meetings and demos
- Collect additional contact information at booth

## 9. Post-Event Follow-up

- Enroll contacts in post-event nurture campaigns
- Conduct timely follow-ups on leads and opportunities

## 10. Analysis and Optimization

- Review event performance metrics
- Refine strategy for future events based on insights"
OOO Welcome Back,Cold / New Leads,Pre-Sales,Easy,Medium,"Email, Text, Phone","Don’t miss any opportunity to build rapport in the sales process. If a prospect’s out-of-office reply comes back from a drip campaign you’re running, set up a timely response with a welcome back message. 
Using automation, drop any out-of-office leads into a separate sequence before resuming your drip campaign. The new sequence schedules a short, cheery welcome back email two days after the lead is scheduled to return to the office. Reps should immediately call once the lead opens the welcome back message.",'- Identify out of office (OOO) replies from email and associated date of return,"'- Start play upon return to office date if specified (otherwise wait 7 days)
- Send records to your CRM
- Assign to a Account Owner 
- Enroll in OOO Welcome Back Campaign","## 1. Configure OOO Detection
- Set up email monitoring system to identify out-of-office replies
- Implement logic to extract return date from OOO messages

## 2. Pause Active Campaigns
- Automatically pause outreach sequences for contacts with OOO replies
- Store original campaign information for later resumption

## 3. Create Welcome Back Sequence
- Design a short, friendly ""welcome back"" email template
- Set up automation to send this email 2 business days after return date

## 4. Schedule Campaign Resumption
- If return date is specified, schedule campaign restart for that date
- If no date specified, set default pause of 7 days

## 5. CRM Integration
- Update contact records in CRM with OOO status and return date
- Assign contacts to appropriate Account Owner

## 6. Re-engagement Process
- Trigger welcome back email send on scheduled date
- Alert sales reps to make follow-up call upon email open

## 7. Multi-Channel Follow-up
- Implement coordinated outreach across email, phone, and text
- Tailor messaging to acknowledge recipient's recent absence

## 8. Campaign Continuation
- Resume original outreach sequence after welcome back touchpoints
- Adjust timing of subsequent touches based on engagement

## 9. Performance Tracking
- Monitor open rates and responses to welcome back messages
- Compare conversion rates of OOO contacts vs. regular campaign

## 10. Continuous Refinement
- Regularly review and optimize welcome back messaging
- Adjust timing and channels based on pe"
Intent Signal Targeting,Cold / New Leads,Pre-Sales,Intermediate,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","Firmographics and technographics help identify which companies are your potential customers. Intent data lets you know which companies are actively searching for a solution like yours. 
Intent data casts a broad net across the internet to gather top-of-funnel signals about the issues, solutions, technologies, and vendors that potential buyers research before buying. This early visibility on developing opportunities gives your sales teams a head start on the competition. 
You can select intent topics related to your business and monitor when a specific account, or set of accounts, conducts high",'- Identify companies within your ICP (ideal customer profile) surging on specific intent topics with a particular signal score and audience strength,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Configure Intent Signal Monitoring
- Select relevant intent topics for your business
- Set signal score threshold (e.g., 60-100)
- Define audience strength range (e.g., 1-5)

## 2. Establish Target Criteria
- Define Ideal Customer Profile (ICP)
- Set contact filters (e.g., management level, department)

## 3. Automated Lead Discovery
- Monitor for companies meeting intent criteria
- Trigger ZoomInfo contact discovery process

## 4. Contact Export and Routing
- Export discovered contacts to chosen business system
- Assign leads to appropriate sales team members

## 5. Campaign Enrollment
- Create intent-specific email campaigns
- Automatically enroll contacts in relevant campaigns

## 6. Multi-Channel Engagement
- Implement outreach across various channels (email, phone, ads, etc.)
- Tailor messaging to specific intent signals

## 7. Performance Tracking
- Monitor engagement metrics across channels
- Track conversion rates from intent signals to sales

## 8. Continuous Optimization
- Regularly review and refine intent topics and thresholds
- Adjust targeting criteria based on performance data

## 9. Sales Team Alignment
- Educate sales team on intent data significance
- Provide guidance on tailoring outreach to specific intent signals"
Social Activity Targeting,Cold / New Leads,Pre-Sales,Intermediate,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","Social media channels are not only great for building brand awareness and a community of advocates for your company. They are also a great source of leads for your marketing efforts. 
When you see engagement on your social media channels, either positive interaction with your brand or negative interactions with a competitor’s brand, start up a conversation with the commenters. Take note of where they work and send a relevant follow up campaign to the main point of contact and the buying committee.","- Identify companies or people's comments, likes or shares post from social media account interacting with your brand or content","'- Discover expanded set of contacts which meet your persona definition
- Send records to your CRM
- Assign to a Account Owner
- Send notification to Social Activity Slack channel (to join social conversation)
- Enroll in Social Activity Campaign
- Generate content to leverage and amplify that content on professional and social networks","## 1. Monitor Social Media Engagement
- Set up social listening tools for brand and competitor mentions
- Track engagement metrics across platforms

## 2. Identify High-Value Interactions
- Define criteria for significant social activity
- Flag interactions meeting these criteria

## 3. Expand Contact Discovery
- Use ZoomInfo to find additional contacts at engaged companies
- Focus on contacts matching ideal customer persona

## 4. CRM Integration
- Export discovered contacts to CRM
- Assign leads to appropriate account owners

## 5. Internal Notification
- Set up automated alerts to Social Activity Slack channel
- Provide context for social interactions to team members

## 6. Content Generation
- Analyze successful social posts for trends
- Create similar content tailored to recent interactions

## 7. Multi-Channel Amplification
- Distribute new content across professional and social networks
- Leverage employee networks for wider reach

## 8. Targeted Campaign Enrollment
- Design Social Activity Campaign based on interaction type
- Enroll identified contacts in relevant campaign

## 9. Multi-Channel Outreach
- Implement coordinated outreach across email, text, phone, etc.
- Personalize messaging based on social activity context

## 10. Performance Analysis
- Track engagement and conversion rates from social-sourced leads
- Adjust strategy based on performance metrics"
Site Visit Targeting,Cold / New Leads,Pre-Sales,Easy,High,"Email, Text, Mail, Events, Ads, Chat, Phone","Our website analytics tool can turn anonymous, high-value visits to your website into known accounts with strong first-party buyer intent signals. You can then pull together a campaign to nurture and reach out to these prospects based on your typical buyer persona and ideal customer profile. Set up an automated workflow to trigger an outreach motion to Buying Committee members at these accounts.",- Identify companies within your ICP visiting specific pages on your website,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Configure Website Tracking
- Set up IP tracking on your website
- Define specific pages or sections for high-intent tracking

## 2. Establish ICP and Contact Criteria
- Define Ideal Customer Profile (ICP) parameters
- Set contact filters (e.g., management level, department)

## 3. Automated Visitor Identification
- Monitor for website visits from companies within ICP
- Trigger contact discovery process in ZoomInfo

## 4. Contact Discovery
- Set parameters to discover up to 20 ZoomInfo contacts per company
- Apply predefined contact filters

## 5. Data Export and Routing
- Export discovered contacts to CRM/MAT/SEP
- Assign leads to appropriate sales team members

## 6. Campaign Enrollment
- Create targeted nurture campaign based on visited pages
- Automatically enroll discovered contacts into the campaign

## 7. Multi-Channel Engagement
- Implement outreach across various channels (email, phone, ads, etc.)
- Tailor messaging based on visited web pages

## 8. Follow-up Automation
- Set up alerts for sales team when prospects revisit the website
- Trigger next-best-action recommendations

## 9. Performance Tracking
- Monitor engagement rates and conversion metrics
- Analyze website visitor-to-lead conversion efficiency

## 10. Continuous Optimization
- Regularly refine ICP and contact criteria
- Update tracking parameters and campaign messaging based on performance data"
Funding Round Signal,Cold / New Leads,Pre-Sales,Easy,Very High,"Email, Text, Mail, Events, Ads, Chat, Phone","When a company receives a round of funding, it’s a strong signal that they are likely to begin making new investments to grow their business. It’s an event worthy of congratulations and a natural conversation starter. 
But it’s not easy to manually track when every company receives funding. With our Funding function, you can identify prospect companies and trigger automated workflows to send an email congratulating them on the funding round, introduce your company, and educate the prospect on how you can help turn their new funding into future growth. By automating this workflow, reps can get ","- Identify companies with funding rounds of a particular round, size and source","'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Configure Funding Triggers
- Set up alerts for new funding rounds
- Define criteria for funding amount, round type, and investors

## 2. Establish Contact Discovery Parameters
- Set target number of contacts to discover (e.g., up to 20)
- Define contact criteria (e.g., management level, department)

## 3. Automated Contact Discovery
- Trigger ZoomInfo contact discovery when funding criteria are met
- Filter contacts based on predefined parameters

## 4. Data Export and Routing
- Configure export to chosen business system (CRM, MAT, SEP)
- Set up automated assignment to designated user

## 5. Campaign Enrollment
- Create targeted campaign for newly funded companies
- Automatically enroll discovered contacts in the campaign

## 6. Multi-Channel Outreach
- Implement outreach across various channels (email, phone, ads, etc.)
- Customize messaging to highlight relevance to recent funding

## 7. Performance Tracking
- Monitor engagement rates across different channels
- Track conversion metrics from initial outreach to sales opportunities

## 8. Continuous Refinement
- Regularly review and adjust funding criteria and contact parameters
- Update campaign messaging based on performance data and market trends

## 9. Scaling and Optimization
- Expand or narrow target criteria based on success rates
- Optimize workflow for efficiency and effectiveness"
Account-Based Marketing,Cold / New Leads,Pre-Sales,Expert,High,"Email, Text, Mail, Events, Ads, Chat, Phone","Senior-level prospects at large accounts can be difficult to reach. This play is designed to influence accessible and responsive end-users to create a groundswell of demand. Eventually interest either reaches a tipping point where the prospective buyer is overwhelmed by internal demand for your solution or you leverage the aggregated results to create a compelling case. 
A good way to create groundswell is by offering a free trial to individual users at the account. Free trials allow them to test your product’s capabilities and experience its potential value. Run targeted campaigns through sev",'- Dynamically add companies which meet your current ABM Saved Search criteria and have a very high score (~ top 100 target accounts),"'- Company-level workflow combining ads, email, phone, events, mail, events, and tailored landing pages
    - Filter companies using ZoomInfo company filters with specific criteria matching your ABM criteria (~100 or less)
    - Source all buyers which meet your persona definition
    - Send records to your CRM
    - Assign to a Account Owner
    - Enroll in (company specific) ABM Campaign","## 1. Define ABM Criteria
- Establish specific criteria for target accounts
- Create saved search in ZoomInfo with ABM parameters

## 2. Identify Top Accounts
- Use ZoomInfo scoring to select ~100 high-value target accounts
- Dynamically update list as new companies meet criteria

## 3. Source Buyer Personas
- Define buyer personas within target accounts
- Utilize ZoomInfo to identify matching contacts

## 4. CRM Integration
- Export discovered accounts and contacts to CRM
- Assign account owners for personalized management

## 5. Develop Multi-Channel Strategy
- Create tailored content for ads, email, phone, events, and direct mail
- Design custom landing pages for each target account

## 6. Launch ABM Campaigns
- Enroll accounts in company-specific ABM campaigns
- Coordinate deployment across all chosen channels

## 7. Implement Free Trial Offer
- Develop a free trial program for end-users
- Promote trial through targeted campaigns

## 8. Monitor Engagement
- Track user interactions across all channels
- Aggregate usage and engagement metrics per account

## 9. Leverage Internal Demand
- Identify accounts reaching tipping point of internal interest
- Use aggregated data to build compelling case for decision-makers

## 10. Refine and Iterate
- Analyze campaign performance regularly
- Adjust strategies based on engagement and conversion data"
Custom Messages in Chat,Cold / New Leads,Pre-Sales,Expert,Very High,Chat,"Don't interact with your best prospects with just any chatbot. Respond with pre-written chats geared toward your specific value offer for them.
Identify your top prospects and craft a message to meet their needs. Then set up your chatbot to deliver this dialogue when anyone from a target company lands on your site. Now you can initiate more connected relationships and build on the momentum of multiple visitors from the company.",- Identify a contact who visits your visits your site from target / ABM account,"- Send alert to account owner and shared ABM channel
- Assign to a User 
- Send records to your CRM
- Chatbot displays account specific opening messages and calls to action in chat flow","## 1. Configure Account Targeting
- Identify and prioritize target/ABM accounts
- Set up website visitor IP tracking for these accounts

## 2. Craft Custom Messages
- Develop account-specific opening messages and CTAs
- Create tailored chatbot flows for each target account

## 3. Set Up Alert System
- Configure alerts for account owners and shared ABM channel
- Establish criteria for triggering alerts based on website visits

## 4. Implement Chatbot Integration
- Integrate chatbot with website visitor tracking
- Set up logic to display custom messages for target accounts

## 5. CRM Integration
- Configure automatic record creation in CRM for new leads
- Set up data sync between chatbot and CRM

## 6. User Assignment Workflow
- Develop criteria for assigning leads to specific users
- Implement automatic assignment process

## 7. Monitor and Analyze Performance
- Track engagement metrics for custom chatbot interactions
- Compare performance against standard chatbot responses

## 8. Refine and Optimize
- Regularly review and update custom messages
- Adjust targeting criteria based on performance data

## 9. Scale the Process
- Expand custom messaging to additional target accounts
- Continuously improve chatbot logic and user experience"
Product-Specific Targeting,Cold / New Leads,Pre-Sales,Intermediate,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","All good sales motions meet the customer where they are. When a potential customer views a product page on your website, recognize their interest and send targeted ads and messaging about the product they viewed. Initiate an automated email campaign. Follow up with a call to schedule a product demo.",- Identify companies or contact views a specific product page on your website,"'- Source expanded set of contacts which meet your persona definition (mapping relevant personas to each product page)
- Send records to your CRM
- Assign to a Account Owner
- Enroll in Product Specific Campaign","## 1. Website Visitor Tracking Setup
- Implement IP tracking on product pages
- Configure system to identify and log visitor activity

## 2. Define Product-Specific Personas
- Create detailed persona profiles for each product
- Map personas to corresponding product pages

## 3. Automated Contact Discovery
- Monitor for new companies visiting product pages
- Trigger contact discovery process in ZoomInfo based on persona definitions

## 4. CRM Integration
- Export discovered contacts to CRM
- Enrich company and contact data as needed

## 5. Lead Assignment
- Automatically assign leads to appropriate Account Owners

## 6. Product-Specific Campaign Creation
- Develop targeted campaigns for each product
- Create content highlighting product-specific value propositions

## 7. Multi-Channel Engagement
- Implement retargeting ads for viewed products
- Initiate automated email sequences
- Schedule follow-up calls for product demos

## 8. Performance Tracking
- Monitor engagement metrics across channels
- Analyze conversion rates for each product-specific campaign

## 9. Continuous Optimization
- Regularly review and refine persona definitions
- Update campaign messaging based on performance data"
Fiscal Year End Targeting,Cold / New Leads,Pre-Sales,Intermediate,High,"Email, Phone, Text, Ads, Mail","The end of a fiscal year is a great time to get in front of potential customers. People are often looking to spend their remaining budget before the year closes, which opens the door for you to make a sale. 

Identify accounts that are within 90 days of their fiscal year closing. Enroll them in a campaign that explains why your product or service is the right fit for them and a great way to invest their remaining money.",- A company is 90 days from ending the fiscal year.,- Enroll the buying committee in an end-of-year budget campaign.,"## 1. Identify Target Accounts
- Set up saved search for companies approaching fiscal year-end
- Configure 90-day trigger before fiscal year close

## 2. Prepare End-of-Year Budget Campaign
- Develop compelling messaging focused on budget utilization
- Create multi-channel content (email, ads, direct mail)

## 3. Enroll Buying Committee
- Use ZoomInfo to identify key decision-makers
- Add contacts to the end-of-year budget campaign

## 4. Launch Multi-Channel Outreach
- Initiate email sequence
- Set up targeted ad campaigns
- Schedule phone calls and send text messages
- Deploy direct mail pieces

## 5. Track Engagement and Prioritize Leads
- Monitor response rates across channels
- Identify highly engaged accounts for immediate follow-up

## 6. Personalize Follow-Up Strategy
- Tailor messaging based on engagement data
- Adjust outreach frequency and channel mix per account

## 7. Leverage Urgency in Messaging
- Emphasize limited time to utilize remaining budget
- Highlight quick implementation and immediate value

## 8. Facilitate Rapid Decision-Making
- Offer streamlined demos and proposals
- Provide flexible terms to accommodate year-end budgets

## 9. Measure Campaign Performance
- Track conversion rates and deal sizes
- Analyze effectiveness of different channels and messages

## 10. Refine for Future Fiscal Year-End Campaigns
- Review successful strategies and pain points
- Update playbook for next year's campaign"
Fast SLA on Form Fill,Lead to Meeting,Pre-Sales,Expert,Very High,"Email, Phone, Text","Responding quickly to inbound inquiries will dramatically increase your chances for success. A recent study showed conversion rates are eight times higher when salespeople place their first call within five minutes of getting a lead. 
When a website visitor researches a project management solution or fills out a web form for a product demo, the assigned SDR should receive an automated alert and contact the prospect immediately. If they can’t reach the prospect, they should leave a voicemail and add the prospect to a follow-up email sequence requesting a call.",'- Identify forms completed or abandoned by people at companies within your ICP (ideal customer profile),"'- Send company and contact records to a specific user or channel in Slack
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Set Up Form Tracking
- Configure web form tracking system
- Define specific forms to monitor (e.g., Pricing Request Form)

## 2. Establish Slack Integration
- Set up Slack channel for SDR Outreach Team
- Configure automated notifications for form submissions

## 3. Configure Data Export
- Set up export to CRM (e.g., Salesforce)
- Define export parameters (Accounts and Contacts)

## 4. Create Follow-Up Campaign
- Develop email campaign for non-responsive leads
- Set up automated enrollment process

## 5. Define Lead Assignment Rules
- Establish criteria for lead assignment
- Configure automatic assignment to specific SDRs

## 6. Implement Rapid Response Protocol
- Train SDRs on 5-minute response window
- Establish escalation process for busy SDRs

## 7. Enrich Lead Data
- Configure automatic data enrichment process
- Include mobile phone, company info, and buying committee details

## 8. Set Up Multi-Channel Follow-Up
- Create voicemail scripts for non-responsive leads
- Establish email and call cadence for follow-ups

## 9. Monitor and Optimize Performance
- Track conversion rates and response times
- Regularly review and adjust process based on performance data"
Recycle Leads,Lead to Meeting,Pre-Sales,Intermediate,High,"Email, Text, Mail, Events, Ads, Chat, Phone","An effective way to move forward with a website visitor who fills out a form is to contact them immediately with a phone call. If the SDR cannot reach the prospect, leave a voicemail and then add them to an email nurture campaign that encourages them to sign up for a free trial. Ideally, send this email within 10 minutes of leaving the voice message. Add these contacts to a call list so SDRs can call them back.","- Identify previous inbound leads, content downloads or unconverted leads not attached to opportunities for given period of time","'- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)
- Send company and contact records to a specific user or channel in Slack","## 1. Identify Recycling Candidates
- Export list of previous inbound leads, content downloads, or unconverted leads
- Filter for leads not attached to opportunities within specified time frame

## 2. Data Preparation and Export
- Clean and validate lead data
- Export selected leads to designated business system (CRM, MAT, SEP, CSV)

## 3. Lead Assignment
- Assign recycled leads to appropriate sales representatives
- Update ownership and status in the business system

## 4. Campaign Enrollment (Optional)
- Create or select nurture campaign for recycled leads
- Enroll assigned leads into the campaign

## 5. Slack Notification
- Configure Slack integration for lead notifications
- Send company and contact records to specified Slack user or channel

## 6. Immediate Outreach
- Attempt phone contact with recycled lead within 5 minutes
- Leave voicemail if unable to reach the prospect

## 7. Follow-up Email
- Send personalized email within 10 minutes of voicemail
- Include relevant product information and free trial offer

## 8. Multi-Channel Engagement
- Implement outreach across various channels (email, text, mail, events, ads, chat, phone)

## 9. Call List Management
- Add non-responsive leads to a dedicated call list for future follow-ups

## 10. Performance Tracking
- Monitor engagement rates and meeting conversions
- Analyze effectiveness of recycling efforts

## 11. Continuous Optimization
- Refine recycling criteria based on conversion data
- Adjust outreach strategies and "
Auto Nurture Content Download,Lead to Meeting,Pre-Sales,Intermediate,High,"Email, Text, Mail, Events, Ads, Chat, Phone","Capturing leads who downloaded your content is a great way to seed your database with potential buyers. But what happens to those leads after they are collected? 
Content downloads and webinar leads often aren't ""hot"" enough to assign to a sales rep. But you can create automated campaigns that relate to the downloaded content to nurture these leads along the buyer journey — with the goal of converting them to marketing-qualified leads (MQL). 
Leads can be automatically added to nurture campaigns based on the content topic, related topics, or their job function. Automated lead nurturing campaig",- Identify contacts and companies who have downloaded content or signed up for newsletter,"'- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Identify Content Downloads and Signups
- Monitor website for form submissions and content downloads
- Capture lead information from these interactions

## 2. Define Target Criteria
- Establish parameters for ideal customer profile (ICP)
- Set criteria for buying personas within target companies

## 3. Lead Qualification and Filtering
- Apply ICP and persona filters to newly captured leads
- Separate high-potential leads from general inquiries

## 4. Data Export and Enrichment
- Export qualified leads to chosen business system (CRM, MAT, SEP)
- Enrich lead data with additional company and contact information

## 5. Lead Assignment
- Automatically assign leads to appropriate team members or departments

## 6. Nurture Campaign Creation
- Develop content-specific nurture campaigns
- Tailor messaging to align with downloaded content and buyer persona

## 7. Campaign Enrollment
- Automatically enroll qualified leads into relevant nurture campaigns

## 8. Multi-Channel Engagement
- Implement drip email sequences
- Coordinate targeted advertising across relevant platforms

## 9. Lead Scoring and Progression
- Establish lead scoring criteria based on engagement and profile fit
- Monitor lead progression towards Marketing Qualified Lead (MQL) status

## 10. Performance Analysis
- Track conversion rates from initial download to MQL
- Analyze campaign effectiveness across different content types and personas

## 11. Continuous Optimization
- Refine nurture sequences based on engage"
Abandoned Form - Calendar Booking,Lead to Meeting,Pre-Sales,Easy,Medium,"Email, Text, Phone, Chat","A prospect initiates communication — maybe they fill out a form or request a demo — but you can’t get a hold of them. Send an engaging messaging with a calendar invite to this inbound lead. New technology makes it possible to book a meeting on their calendar. 
This is a last-ditch effort to make a connection, and it's a little risky to schedule a meeting without a qualified call first. But getting a meeting on the calendar is worthwhile. There's a good chance the prospect will take the meeting. Even if they accept the invitation by accident and want to renegotiate, they might offer you somethi",- Identified visitor engages in a website form or chat but does not convert,"- Wait for a given period of time
- Send Calendar Invite to contact who abandoned form","## 1. Monitor Form and Chat Interactions
- Set up tracking for website forms and chat engagements
- Configure system to identify abandoned interactions

## 2. Define Abandonment Criteria
- Establish parameters for what constitutes an abandoned form or chat
- Set wait period before triggering follow-up (e.g., 10 days)

## 3. Contact Data Enrichment
- Use FormComplete or existing customer data to fill in missing contact details
- Ensure necessary information is available for follow-up

## 4. Calendar Invite Preparation
- Create template for calendar invite message
- Customize message to reference abandoned form/chat and offer assistance

## 5. Automated Calendar Booking
- Configure system to automatically send calendar invites after wait period
- Assign appropriate sales team member as the meeting host

## 6. Multi-Channel Follow-Up
- Set up automated email to accompany calendar invite
- Prepare SMS or phone call scripts for additional touchpoints

## 7. Response Handling
- Establish process for managing accepted, declined, or rescheduled invites
- Create protocol for handling accidental acceptances

## 8. Meeting Preparation
- Develop standardized agenda for these recovery meetings
- Prepare sales team with context of the abandoned interaction

## 9. Performance Tracking
- Monitor success rates of calendar invites and subsequent meetings
- Analyze conversion rates from this recovery method

## 10. Continuous Refinement
- Regularly review and adjust wait periods and message con"
Abandoned Chat - Calendar Booking,Lead to Meeting,Pre-Sales,Easy,Medium,"Email, Text, Phone, Chat","What happens when a prospect initiates communication with a website chat feature, but you can’t connect with them? Send a calendar invite to this inbound lead with tailored messaging. New technology even makes it possible to book a meeting on their calendar. 
This is a last-ditch effort to make a connection, and it's a little risky to schedule a meeting without a qualified call first. But getting a meeting on their calendar is worthwhile. There's a good chance the prospect will take the meeting. Even if they accept the invitation by accident and want to renegotiate, they might offer you someth",- Identify visitors who engage in a website form or chat but does not convert,"- Wait for a given period of time
- Send Calendar Invite to contact who abandoned form","## 1. Monitor Chat Engagement
- Set up system to track website chat interactions
- Identify visitors who start but don't complete chats

## 2. Configure Wait Period

- Determine appropriate waiting period (e.g., 10 days)
- Set up automated timer for each abandoned chat

## 3. Prepare Calendar Invite

- Create template for calendar invite
- Customize message referencing incomplete chat
- Select appropriate team member as meeting host

## 4. Automate Calendar Booking

- Configure system to send calendar invite after wait period
- Ensure invite includes engaging message and meeting details

## 5. Follow-Up Communication

- Set up automated email to accompany calendar invite
- Prepare additional touchpoints (text, phone) if needed

## 6. Track Acceptance and Response

- Monitor invite acceptance rates
- Record any rescheduling requests or declines

## 7. Prepare for Meeting

- Brief sales team on context of each booked meeting
- Gather relevant information from initial chat interaction

## 8. Conduct Meeting and Next Steps

- Hold scheduled meeting with prospect
- Determine appropriate follow-up actions based on outcome

## 9. Analyze and Optimize

- Track success rates of this approach
- Adjust wait times, messaging, or overall strategy as needed"
Abandoned Chat Follow-Up,Lead to Meeting,Pre-Sales,Intermediate,High,"Email, Phone, Ads","Interacting with prospects via chatbot is a valuable opportunity to connect in real-time, answer questions, and point them in the right direction. However, the buyer has control over these conversations and can end them at any time. 
If a prospect abandons a conversation before providing their contact information or filling out a form, use the IP and company data filters to identify the visitor's company and enrich that data to identify the company's likely buying group. Then set up an automated email sequence to the group. By reaching out to other potential decision-makers, you can ensure tha",- Identify visitors who engage with website chat but do not convert,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Identify Abandoned Chat Interactions
- Set up tracking for chat interactions on website
- Define criteria for ""abandoned"" chats (e.g., no form fill, no contact info provided)

## 2. Configure ZoomInfo Contact Discovery
- Establish contact filters (e.g., management level, department)
- Set maximum number of contacts to discover (e.g., up to 20)

## 3. Enrich Company Data
- Use IP information to identify the visitor's company
- Leverage ZoomInfo to enrich company data

## 4. Automated Contact Discovery
- Trigger ZoomInfo contact discovery based on enriched company data
- Apply predefined contact filters to identify potential buying committee

## 5. Data Export and Integration
- Configure export settings to chosen business system (CRM, MAT, SEP)
- Set up data mapping for seamless integration

## 6. Lead Assignment
- Define rules for automatic lead assignment to appropriate team members

## 7. Campaign Enrollment
- Create targeted follow-up campaign in CRM/MAT/SEP
- Set up automatic enrollment of discovered contacts into the campaign

## 8. Multi-Channel Outreach
- Develop email templates for follow-up sequence
- Configure additional outreach channels (phone, ads) as needed

## 9. Performance Tracking
- Set up metrics to monitor engagement and conversion rates
- Implement regular reporting on play effectiveness

## 10. Continuous Refinement
- Regularly review and adjust contact discovery criteria
- Optimize campaign messaging based on performance data"
